,Text,LDA_pred_number
0,' Trappes un pre combat oppose le maireun enseignant qui affirme que la ville est aux mains des islamistes Le ',Politics
1,'Heres a look at some of the highlights worth watching from latenight TV ',Cronaca
2,'Take feta from crumbly and coarse to airy and spreadable ',Action
3,'At least 10 people were killed and 16 others injured in an armed attack on staff members of a BritishAmerican char ',Religion
4,'Cicadas filled the engines of a press plane set to accompany President Biden on his trip to Europe forcing a delay ',Religion
5,'Justin Wallace who would have turned 11 on Tuesday was shot as he walked out of his aunts home on Saturday A Qu ',Politics
6,'Eric Adams a leading candidate for New York City mayor drew criticism on Tuesday for his decision to skip an upco ',Drama
7,'President Biden on Tuesday ended a weekslong effort to reach a deal with Senate Republicans on a 1 trillion expans ',Drama
8,'An Idaho man was sentenced to life in prison for the 1996 rape and murder of an 18yearold woman a crime for whic ',Politics
9,'A hospital pharmacist who pleaded guilty to trying to spoil more than 500 doses of a Covid19 vaccine was sentenced ',Cronaca
10,'Union employees at The New Yorker marched to the home of Anna Wintour the magazine editor and publishing executive ',Religion
11,'The man who had stolen my photos to scam lonely people was now asking me for money On the Modern Love podcast l ',Drama
12,'Jack Ciattarelli a businessman and former lawmaker beat back challenges from candidates loyal to former President ',Religion
13,'News Analysis As Prime Minister Benjamin Netanyahu of Israel faces defeat he sounds like Donald Trump saying the ',Drama
14,'Former New York Giants coach Jim Fassel wasnt cut from classic football coach cloth writesBu ',Politics
15,'Vice President Kamala Harris on Tuesday capped her first foreign trip a highstakes visit to Mexico and Guatemala ',Religion
16,'In Opinion\n\nSince Trump really is likely to be the Republican nominee in the next election its worth taking alar ',Drama
17,'Republican lawmakers in Oregon are calling for the resignation of a colleague after videos showed how he aided demo ',Drama
18,'Many Gen Z influencers who found fame on TikTok in the last year are burning out and struggling with their mental h ',Politics
19,'Google should be declared a public utility and be subject to government regulation Ohios attorney general said in ',Action
20,'Senate Republicans on Tuesday blocked debate on a bill to combat pay discrimination against women and LGBTQ workers ',Drama
21,'Former Virginia Gov Terry McAuliffe won the Democratic nomination for his old job setting up an election that wil ',Action
22,'Our reporterlives in Albuquerque New Mexico where temperatures and drought are so bad that a newl ',Religion
23,'The first results from the Virginia primaries are live Get full results and maps here ',Politics
24,'Stacey Abrams and the voting organization she leads are beginning a monthlong advocacy campaign called Hot Call Sum ',Drama
25,'In Loki the latest superhero show Marvel is premiering on Disney+ on Wednesday the deceitful Norse god is alive ',Drama
26,'Prices are jumping around the world prompting growing warnings that a wave of inflation could threaten the global ',Drama
27,'Breaking News The Senate passed the most significant industrial policy legislation in decades in a bid to bolster ',Drama
28,'Was this Picasso lost because of the Nazis The state of Bavaria and heirs to the paintings former owner disagree ',Religion
29,'The Senate confirmed President Bidens first two judicial nominees on Tuesday with modest Republican support touch ',Drama
30,'Breaking News President Biden cut off infrastructure talks with top Senate Republicans turning to a bipartisan gr ',Drama
31,'Jim Fassel who coached the Giants team that reached the 2001 Super Bowl died on Monday He was 71 ',Cronaca
32,'El Chapos wife is set to plead guilty to charges of helping her husband run a multibilliondollar empire and then ',Religion
33,'Lines of police clashed with people gathered in New York Citys Washington Square Park on Saturday as officers move ',Religion
34,'Real estate investors in the US can roll earnings from the sale of one property into the purchase of another to s ',Cronaca
35,'Meals Ready to Eat or MREs are pouches of shelfstable rations created for the US military Theyve recently be ',Action
36,'Remote workers who are vaccinated but not yet required back in an office are enjoying what may be a onceinalifet ',Politics
37,'Because its iced coffee season ',Cronaca
38,'State officials are concerned that their doses of the JampJ vaccine may expire if they go unused in the coming weeks ',Drama
39,'Throughout 2020 social platforms minted a new generation of young stars and Silicon Valley finally embraced the creator',Religion
40,'These ambitious young creators have combined forces to pursue dreams of social media stardom in an industry they s ',Drama
41,'Prominent Black civil rights leaders implored Senator Joe Manchin of West Virginia on Tuesday to help them find a p ',Action
42,'With Republicans moving to pass new voting restrictions in Texas Democrats are set to announce a major plan to reg ',Drama
43,'Chris Harrison the longtime host of The Bachelor and The Bachelorette has parted ways with the reality TV fra ',Cronaca
44,'Introducing\nThe new and improved Guantanamo Docket a New York Times compendium of information on each of the 780 me',Religion
45,'Ganymede is the largest of Jupiters 79 known moonsand the largest moon in the entire solar system\n\nOn Tuesday ',Drama
46,'An oversight appears to have allowed hackers into the computer systems of Colonial Pipeline and contributed to the ',Cronaca
47,'A new FDAapproved Alzheimers drug is predicted to generate billions of dollars in revenue for its manufacturer B ',Cronaca
48,'Many Asian Americans say that Americas race to reopen is creating a new wave of worriesnot about getting Covid ',Religion
49,'Determined to lure new employees and retain existing ones in a hot job market employers are turning to new incenti ',Religion
50,'In a first a woman will be nominated to run New York Citys MTA the largest public transit system in North Americ ',Religion
51,'Sidewalk is designed to connect your Amazon smart devices with others in an internet sharing arrangement Our Tech ',Politics
52,'Amazons Sidewalk service set to go live today on many of its smart home devices may be terrific news about poten ',Religion
53,'A mural sponsored by the Detroit Institute of Arts is facing criticism for being overtly propolice The artist s ',Drama
54,'US job openings surged to record levels in April \n\n93 million jobs were available at the end of that month the ',Religion
55,'Vice President Kamala Harris is capping her first foreign trip by meeting with Mexicos president on Tuesday discu ',Religion
56,'I delved into the world of military rations or MREs the absolutely wild process of making one and the enormous civ',Cronaca
57,'Covid vaccines may be available for US children as young as six months by the fall drugmakers say\n\nPfizer and M ',Action
58,'Organized crime figures trusted their phones security so much that they planned jobs without coded language But t ',Religion
59,'Aaron Rodgers the NFLs most valuable player did not attend the first day of Green Bays mandatory minicamp rais ',Politics
60,'Virginia Democrats go to the polls on Tuesday to determine their candidates in races ranging from governor to the S ',Religion
61,'The United Nations Security Council formally recommended the reelection of Antnio Guterres as secretary general ',Religion
62,'Meet the lone human resident of Protection Island ',Religion
63,'Marty Bluewater made Protection Island his home a halfcentury ago buying his land for 7000 in the 1970s Even a ',Religion
64,'Clare Brown is a TikTok creator known for her short satirical skits in which white people are treated as a minorit ',Religion
