Text,Prediction,Polarity,Subjectivity
" trappes, un pre combat oppose le maire  un enseignant qui affirme que la ville est aux mains des islamistes. le ",['neutral'],0.0,0.0
here's a look at some of the highlights worth watching from late-night tv. ,['hate.speech'],0.3,0.1
take feta from crumbly and coarse to airy and spreadable. ,['neutral'],0.0,0.5
at least 10 people were killed and 16 others injured in an armed attack on staff members of a british-american char ,['hate.speech'],-0.25,0.2
"cicadas filled the engines of a press plane set to accompany president biden on his trip to europe, forcing a delay ",['hate.speech'],0.4,0.9
"justin wallace, who would have turned 11 on tuesday, was shot as he walked out of his aunts home on saturday. a qu ",['hate.speech'],0.0,0.0
"eric adams, a leading candidate for new york city mayor, drew criticism on tuesday for his decision to skip an upco ",['hate.speech'],0.13636363636363635,0.45454545454545453
president biden on tuesday ended a weekslong effort to reach a deal with senate republicans on a $1 trillion expans ,['hate.speech'],0.0,0.0
"an idaho man was sentenced to life in prison for the 1996 rape and murder of an 18-year-old woman, a crime for whic ",['hate.speech'],0.0,0.0
a hospital pharmacist who pleaded guilty to trying to spoil more than 500 doses of a covid-19 vaccine was sentenced ,['hate.speech'],0.0,0.75
"union employees at the new yorker marched to the home of anna wintour, the magazine editor and publishing executive ",['neutral'],0.13636363636363635,0.45454545454545453
"the man who had stolen my photos to scam lonely people was now asking me for money. on the modern love podcast, l ",['hate.speech'],0.20000000000000004,0.5333333333333333
"jack ciattarelli, a businessman and former lawmaker, beat back challenges from candidates loyal to former president ",['hate.speech'],0.08333333333333333,0.20833333333333334
"news analysis: as prime minister benjamin netanyahu of israel faces defeat, he sounds like donald trump, saying the ",['hate.speech'],0.0,0.0
"former new york giants coach jim fassel wasnt cut from classic football coach cloth, writes @billmpennington. bu ",['hate.speech'],0.101010101010101,0.20707070707070707
"vice president kamala harris on tuesday capped her first foreign trip, a high-stakes visit to mexico and guatemala ",['hate.speech'],0.0625,0.22916666666666666
"in opinion

""since trump really is likely to be the republican nominee in the next election, its worth taking alar ",['hate.speech'],0.09999999999999999,0.3666666666666667
republican lawmakers in oregon are calling for the resignation of a colleague after videos showed how he aided demo ,['hate.speech'],0.0,0.0
many gen z influencers who found fame on tiktok in the last year are burning out and struggling with their mental h ,['hate.speech'],0.13333333333333333,0.25555555555555554
"google should be declared a public utility and be subject to government regulation, ohio's attorney general said in ",['neutral'],-0.03888888888888888,0.3
