,Text,LDA_pred_number
0,'Could this be Californias worst year for drought\n\n ',Drama
1,'China students hold principal hostage in rare protest ',Drama
2,'Harry and Meghan did not ask Queen to use Lilibet namePalace source ',Cronaca
3,'South Korean mayor apologises for almost falling for vaccine scam ',Drama
4,'How grief has united an Israeli and a Palestinian mother ',Action
5,'Iraqis suffer as USIran shadow war shifts gear ',Religion
6,'Does Covid mean the end of hugging strangers ',Cronaca
7,'My Paralympic dreams dashed by 15mm ',Action
8,'Have more young people had Covid in Indias second wave ',Politics
9,'Sushil Kumar The Indian Olympic legend accused of murder ',Religion
10,'Why Covid has made it harder for young women to get jobs ',Action
11,'Unbelievable supergroup of whales caught on film ',Politics
12,'Nicaragua arrests third possible challenger to Daniel Ortega ',Action
13,'Young Thai workers race to reopen deserted beaches ',Drama
14,'Russia complains to Uefa over Ukraines political Euro 2020 jersey ',Cronaca
15,'March through Muslim Quarter in Jerusalem to go ahead ',Drama
16,'Tax details of US superrich allegedly leaked ',Action
17,'The US socialite who gave it all up to become a Carmelite nun ',Action
18,'Italys plummeting birth rate worsened by pandemic ',Religion
19,'Travel US eases travel rules for 61 countriesbut not UK ',Cronaca
20,'How can we look families in the eye and say Islamophobia isnt real\n\nPrime Minister Justin Trudeau decries Isl ',Drama
21,'Kamala Harris under pressure to visit USMexico border ',Drama
22,'Twitter ban in Nigeria Can you be arrested for tweeting ',Cronaca
23,'US eases travel rules for 61 countriesbut not UK\n ',Cronaca
24,'Israel says Gaza tower it destroyed was used by Hamas to try to jam Iron Dome ',Politics
25,'India coronavirus What is the governments change to vaccine policy ',Action
26,'French President Macron slapped by person in crowd',Religion
27,'US Double Eagle gold coin sold for record 189m ',Cronaca
28,'Kims Convenience stars decry racist storylines and lack of diversity ',Drama
29,' Hartlepool Councils leader deniesclaims from his own authority that monkey statue was to be given a sign ',Action
30,'Hollywood stars descends on Yorkshire village for filming of new Indiana Jones movie\n\n ',Drama
31,'The Bachelor host Chris Harrison stepping down permanently over racism row ',Action
32,'This huge tornado was captured on camera in Weld County Colorado yesterday The twister covered a path of around 14 miles',Politics
33,'Australia under pressure to free refugee family detained on Christmas Island ',Drama
34,'Molly the Labrador had a lucky escape after an accident which saw a onemetrelong stick penetrate her body narrowly missing',Cronaca
35,'Three cars collapse into sinkhole in Jerusalem hospital car park \n\n ',Action
36,'The second wave of Covid19 ravaged India and experts believe the number of deaths in rural areas is much higher than officia',Action
37,'More than 800 suspected criminals have been arrested worldwide after being tricked into using an FBIrun encrypted messaging',Cronaca
38,'Lahore police arrest man in connection with murder of London woman killed in Pakistan\n',Religion
