,Text,Prediction,Polarity,Subjectivity,LDA_pred_number
0," trappes, un pre combat oppose le maire  un enseignant qui affirme que la ville est aux mains des islamistes. le ",['neutral'],0.0,0.0,Politics
1,here's a look at some of the highlights worth watching from late-night tv. ,['hate.speech'],0.3,0.1,Cronaca
2,take feta from crumbly and coarse to airy and spreadable. ,['neutral'],0.0,0.5,Action
3,at least 10 people were killed and 16 others injured in an armed attack on staff members of a british-american char ,['hate.speech'],-0.25,0.2,Religion
4,"cicadas filled the engines of a press plane set to accompany president biden on his trip to europe, forcing a delay ",['hate.speech'],0.4,0.9,Religion
5,"justin wallace, who would have turned 11 on tuesday, was shot as he walked out of his aunts home on saturday. a qu ",['hate.speech'],0.0,0.0,Politics
6,"eric adams, a leading candidate for new york city mayor, drew criticism on tuesday for his decision to skip an upco ",['hate.speech'],0.13636363636363635,0.4545454545454545,Drama
7,president biden on tuesday ended a weekslong effort to reach a deal with senate republicans on a $1 trillion expans ,['hate.speech'],0.0,0.0,Drama
8,"an idaho man was sentenced to life in prison for the 1996 rape and murder of an 18-year-old woman, a crime for whic ",['hate.speech'],0.0,0.0,Politics
9,a hospital pharmacist who pleaded guilty to trying to spoil more than 500 doses of a covid-19 vaccine was sentenced ,['hate.speech'],0.0,0.75,Cronaca
10,"union employees at the new yorker marched to the home of anna wintour, the magazine editor and publishing executive ",['neutral'],0.13636363636363635,0.4545454545454545,Religion
11,"the man who had stolen my photos to scam lonely people was now asking me for money. on the modern love podcast, l ",['hate.speech'],0.20000000000000004,0.5333333333333333,Drama
12,"jack ciattarelli, a businessman and former lawmaker, beat back challenges from candidates loyal to former president ",['hate.speech'],0.08333333333333333,0.20833333333333331,Religion
13,"news analysis: as prime minister benjamin netanyahu of israel faces defeat, he sounds like donald trump, saying the ",['hate.speech'],0.0,0.0,Drama
14,"former new york giants coach jim fassel wasnt cut from classic football coach cloth, writes @billmpennington. bu ",['hate.speech'],0.101010101010101,0.20707070707070707,Politics
15,"vice president kamala harris on tuesday capped her first foreign trip, a high-stakes visit to mexico and guatemala ",['hate.speech'],0.0625,0.22916666666666666,Religion
16,"in opinion

""since trump really is likely to be the republican nominee in the next election, its worth taking alar ",['hate.speech'],0.1,0.3666666666666667,Drama
17,republican lawmakers in oregon are calling for the resignation of a colleague after videos showed how he aided demo ,['hate.speech'],0.0,0.0,Drama
18,many gen z influencers who found fame on tiktok in the last year are burning out and struggling with their mental h ,['hate.speech'],0.13333333333333333,0.25555555555555554,Politics
19,"google should be declared a public utility and be subject to government regulation, ohio's attorney general said in ",['neutral'],-0.03888888888888888,0.3,Action
20,senate republicans on tuesday blocked debate on a bill to combat pay discrimination against women and lgbtq workers ,['hate.speech'],0.0,0.0,Drama
21,"former virginia gov. terry mcauliffe won the democratic nomination for his old job, setting up an election that wil ",['hate.speech'],0.05,0.1,Action
22,"our reporter @henryfountain lives in albuquerque, new mexico, where temperatures and drought are so bad that a newl ",['hate.speech'],-0.2818181818181817,0.5606060606060606,Religion
23,rt @nytgraphics: the first results from the virginia primaries are live. get full results and maps here: ,['neutral'],0.24545454545454545,0.4611111111111111,Politics
24,stacey abrams and the voting organization she leads are beginning a monthlong advocacy campaign called hot call sum ,['hate.speech'],0.25,0.8500000000000001,Drama
25,"in loki, the latest superhero show marvel is premiering on disney+ on wednesday, the deceitful norse god is alive ",['hate.speech'],0.3,0.65,Drama
26,"prices are jumping around the world, prompting growing warnings that a wave of inflation could threaten the global ",['hate.speech'],0.0,0.0,Drama
27,"breaking news: the senate passed the most significant industrial policy legislation in decades, in a bid to bolster ",['hate.speech'],0.4375,0.6875,Drama
28,was this picasso lost because of the nazis? the state of bavaria and heirs to the paintings former owner disagree. ,['hate.speech'],0.0,0.0,Religion
29,"the senate confirmed president bidens first two judicial nominees on tuesday with modest republican support, touch ",['hate.speech'],0.25,0.7444444444444445,Drama
30,"breaking news: president biden cut off infrastructure talks with top senate republicans, turning to a bipartisan gr ",['hate.speech'],0.5,0.5,Drama
31,"jim fassel, who coached the giants team that reached the 2001 super bowl, died on monday. he was 71. ",['hate.speech'],0.3333333333333333,0.6666666666666666,Cronaca
32,"el chapo's wife is set to plead guilty to charges of helping her husband run a multibillion-dollar empire and then, ",['hate.speech'],-0.5,1.0,Religion
33,lines of police clashed with people gathered in new york city's washington square park on saturday as officers move ,['hate.speech'],0.13636363636363635,0.4545454545454545,Religion
34,real estate investors in the you.s. can roll earnings from the sale of one property into the purchase of another to s ,['neutral'],0.2,0.30000000000000004,Cronaca
35,"meals ready to eat, or mres, are pouches of shelf-stable rations created for the you.s. military. theyve recently be ",['hate.speech'],0.03333333333333333,0.2833333333333333,Action
36,remote workers who are vaccinated but not yet required back in an office are enjoying what may be a once-in-a-lifet ,['hate.speech'],0.13333333333333333,0.26666666666666666,Politics
37,because it's iced coffee season. ,['hate.speech'],0.0,0.0,Cronaca
38,state officials are concerned that their doses of the j&amp;j vaccine may expire if they go unused in the coming weeks ,['hate.speech'],0.0,0.0,Drama
39,"rt @taylorlorenz: throughout 2020, social platforms minted a new generation of young stars and silicon valley finally embraced the creator",['neutral'],0.06742424242424241,0.4803030303030304,Religion
40,"these ambitious, young creators have combined forces to pursue dreams of social media stardom in an industry they s ",['hate.speech'],0.12777777777777774,0.4055555555555555,Drama
41,prominent black civil rights leaders implored senator joe manchin of west virginia on tuesday to help them find a p ,['hate.speech'],0.16666666666666669,0.7166666666666667,Action
42,"with republicans moving to pass new voting restrictions in texas, democrats are set to announce a major plan to reg ",['neutral'],0.09943181818181818,0.4772727272727273,Drama
43,"chris harrison, the longtime host of the bachelor and the bachelorette, has parted ways with the reality tv fra ",['hate.speech'],0.0,0.0,Cronaca
44,"rt @carolrosenberg: introducing...
the new and improved guantanamo docket, a new york times compendium of information on each of the 780 me",['neutral'],0.13636363636363635,0.4545454545454545,Religion
45,"ganymede is the largest of jupiters 79 known moons  and the largest moon in the entire solar system.

on tuesday, ",['hate.speech'],0.0,0.625,Drama
46,an oversight appears to have allowed hackers into the computer systems of colonial pipeline and contributed to the ,['neutral'],0.0,0.0,Cronaca
47,"a new fda-approved alzheimers drug is predicted to generate billions of dollars in revenue for its manufacturer, b ",['neutral'],0.13636363636363635,0.4545454545454545,Cronaca
48,"many asian americans say that americas race to reopen is creating a new wave of worries  not about getting covid, ",['hate.speech'],0.21212121212121213,0.3181818181818182,Religion
49,"determined to lure new employees and retain existing ones in a hot job market, employers are turning to new incenti ",['neutral'],0.17424242424242425,0.5863636363636364,Religion
50,"in a first, a woman will be nominated to run new york city's mta, the largest public transit system in north americ ",['hate.speech'],0.12878787878787878,0.28484848484848485,Religion
51,sidewalk is designed to connect your amazon smart devices with others in an internet sharing arrangement. our tech ,['neutral'],0.21428571428571427,0.6428571428571429,Politics
52,"amazons sidewalk service, set to go live today on many of its smart home devices, may be terrific news about poten ",['hate.speech'],0.21266233766233766,0.6607142857142857,Religion
53,a mural sponsored by the detroit institute of arts is facing criticism for being overtly pro-police. the artist s ,['hate.speech'],0.0,0.0,Drama
54,"you.s. job openings surged to record levels in april. 

9.3 million jobs were available at the end of that month, the ",['neutral'],0.4,0.4,Religion
55,"vice president kamala harris is capping her first foreign trip by meeting with mexicos president on tuesday, discu ",['hate.speech'],0.0625,0.22916666666666666,Religion
56,"rt @priyakrishna: i delved into the world of military rations, or m.are.e.s the absolutely wild process of making one, and the enormous civ",['hate.speech'],0.0,0.4666666666666666,Cronaca
57,"covid vaccines may be available for you.s. children as young as six months by the fall, drugmakers say.

pfizer and m ",['hate.speech'],0.25,0.4,Action
58,organized crime figures trusted their phones security so much that they planned jobs without coded language. but t ,['neutral'],0.2,0.2,Religion
59,"aaron rodgers, the nfls most valuable player, did not attend the first day of green bays mandatory minicamp, rais ",['hate.speech'],0.18333333333333332,0.37777777777777777,Politics
60,virginia democrats go to the polls on tuesday to determine their candidates in races ranging from governor to the s ,['hate.speech'],0.0,0.0,Religion
61,"the united nations security council formally recommended the re-election of antnio guterres as secretary general, ",['hate.speech'],0.05000000000000002,0.5,Religion
62,meet the lone human resident of protection island ,['hate.speech'],0.0,0.1,Religion
63,"marty bluewater made protection island his home a half-century ago, buying his land for $7,000 in the 1970s. even a ",['hate.speech'],0.0,0.0,Religion
64,"clare brown is a tiktok creator known for her short, satirical skits in which white people are treated as a minorit ",['hate.speech'],0.0,0.15,Religion
65,"a high school teacher warned on tv that the french city of trappes has been taken over by islamists, a view strongl ",['hate.speech'],0.08,0.27,Politics
66,"federal regulators say moviepass knowingly deceived customers, using tactics to try to make its most active users g ",['neutral'],0.18333333333333332,0.55,Religion
67,"graeme ferguson, a canadian documentarian who cocreated imax, the panoramic cinema experience that immerses audienc ",['hate.speech'],0.0,0.0,Action
68,"a man slapped president emmanuel macron of france in the face on tuesday and shouted down with macronie."" two peop ",['hate.speech'],-0.1555555555555556,0.2888888888888889,Action
69,"it's two weeks until the primary in which voters will pick new york city's next mayor. 

catch up on the latest new ",['hate.speech'],0.23454545454545456,0.4618181818181818,Religion
70,"the 25 richest americans including jeff bezos, mike bloomberg and elon musk paid relatively little  and sometimes ",['hate.speech'],-0.1875,0.5,Cronaca
71,"50 years ago, marty bluewater fought to keep his home among the birds of protection island. now, he is the island's ",['hate.speech'],0.0,0.0,Action
72,some people steal them. others leave them wherever they like. why is it so hard to return your shopping cart? ,['hate.speech'],-0.2916666666666667,0.5416666666666666,Politics
73,"lewis hamilton said he applauded naomi osaka for her incredible bravery.""

someone talking about their personal m ",['hate.speech'],0.45,0.6,Politics
74,"rt @kevinroose: i wrote about the end of the millennial lifestyle subsidy, and why every bougie indulgence got expensive all of a sudden. h",['hate.speech'],-0.25,0.6,Drama
75,"the era of the millennial lifestyle subsidy, when dozens of apps let 20- and 30-somethings live a luxury lifestyl ",['neutral'],0.13636363636363635,0.5,Action
76,"a london police officer has pleaded guilty to the rape and kidnapping of sarah everard, the british woman whose kil ",['hate.speech'],-0.25,0.5,Cronaca
77,"the criminals thought the devices were secure. but the seller was the fbi.
 ",['hate.speech'],0.4,0.6,Action
78,"they call it joints for jabs.""  ",['hate.speech'],0.0,0.0,Cronaca
79,"rt @dleonhardt: the you.s. government used to spend between 1% and 2% of gdp on investments in research and development.

that spending yield",['neutral'],0.0,0.0,Action
80,"rt @shanegoldmacher: new: for a decade+, democrats who want robust election-law enforcement have been on the losing end of tie votes at the",['hate.speech'],0.13636363636363635,0.4545454545454545,Drama
81,"the final ruling in the case of ratko mladic, the bosnian serb former commander who was convicted in 2017 of crimes ",['hate.speech'],0.0,0.5,Action
82,"rt @nytnickc: new: as texas republicans pledge to pass a new voting bill in special session, texas democrats are launching a new way to com",['neutral'],0.1915584415584416,0.4837662337662337,Drama
83,"rt @coopnytimes: the road back, cont'd: foo fighters will play the first full-capacity arena concert in new york since march 2020 at @thega",['hate.speech'],0.12878787878787878,0.2626262626262626,Cronaca
84,"china approved the sinovac covid-19 vaccine for children as young as 3, the chairman of the chinese drugmaker said. ",['hate.speech'],0.05,0.2,Action
85,"the un on tuesday is expected to adopt new targets for ending aids as a public health threat by 2030.

but consensu ",['neutral'],0.012121212121212116,0.30707070707070705,Drama
86,foo fighters will perform at madison square garden on june 20  the first full-capacity concert in a new york arena ,['neutral'],0.19318181818181815,0.3939393939393939,Politics
87,how many words can you make with 7 letters? try todays spelling bee.  ,['hate.speech'],0.5,0.5,Religion
88,"fastly, a cloud-computing company, was hit by an outage that caused websites around the world to crash on tuesday. ",['hate.speech'],0.2,0.6,Politics
89,peacocks can be found sauntering across suburban streets or fanning their feathers on manicured lawns in los angele ,['hate.speech'],0.0,0.0,Cronaca
90,rt @alanfeuer: icymi: last year joe biden slammed trump for having doj represent him in a private defamation suit stemming from a rape alle,['neutral'],0.0,0.22083333333333333,Action
91,the issue has been resolved;  is working for all users now.,['neutral'],0.0,0.0,Drama
92,"some of the biggest industries in the you.s. have been hit by cyberattacks in recent weeks.

who is behind these atta ",['hate.speech'],-0.2,0.475,Religion
93,"you.s. intelligence agencies did not properly warn law enforcement before the capitol riot, says a detailed senate re ",['hate.speech'],0.2,0.425,Drama
94,the biden administrations justice department is seeking to defend donald trump in a defamation lawsuit over e. jea ,['hate.speech'],0.0,0.0,Action
95,"rt @patrickkingsley: benjamin netanyahu's immediate political future is set to be decided on sunday, when lawmakers will hold a vote of con",['neutral'],0.0,0.1125,Drama
96,"a new fda-approved alzheimers drug is predicted to generate billions of dollars in revenue for its manufacturer, b ",['neutral'],0.13636363636363635,0.4545454545454545,Cronaca
97,"rt @lukebroadwater: more than 50 statements from capitol police officers painted a vivid portrayal of the rioters, some of whom gave nazi s",['hate.speech'],0.3125,0.625,Politics
98,"a high school teacher warned on tv that the french city of trappes has been taken over by islamists, a view strongl ",['hate.speech'],0.08,0.27,Politics
99,"rt @kannoyoungs: new kamala harris did not mince words in guatemala. 

vp said the us would support anti-corruption entities in the region",['neutral'],0.13636363636363635,0.4545454545454545,Religion
100,xi jinping wants to make china more lovable. but his move to win over global public opinion is unlikely to change ,['neutral'],0.21428571428571427,0.2952380952380952,Drama
101,"rt @stevenleemyers: xi jinping doubles down on the ""struggle"" to make china ""credible, lovable and respectable."" with @keithbradsher 
https",['hate.speech'],0.3111111111111111,0.4972222222222222,Drama
102,"in opinion

""on all sides, nigeria is buffeted by crisis,"" writes dr. saeed husaini, a researcher at the universit ",['neutral'],0.0,0.0,Drama
103,"rt @keithbradsher: wholesale prices are rising in china. and with china's currency strong this spring, the price increases could add to inf",['neutral'],0.4333333333333333,0.7333333333333333,Religion
104,the biden administrations justice department is seeking to defend donald trump in a defamation lawsuit over e. jea ,['hate.speech'],0.0,0.0,Action
105,criminals around the world relied on devices that supposedly allowed them to send encrypted messages and organize i ,['neutral'],0.0,0.0,Religion
106,"during her first foreign trip as vice president, kamala harris promoted economic development and anti-corruption ef ",['hate.speech'],0.10833333333333334,0.21944444444444444,Religion
107,"heres a look at where things stand on four main policy goals for president biden, senator chuck schumer and speake ",['neutral'],0.16666666666666666,0.3333333333333333,Cronaca
108,"a retired nypd officer died after he was shot in the torso during a confrontation outside a brooklyn pizzeria, the ",['hate.speech'],0.0,0.05,Politics
109,"a popular and polarizing yale professor, amy chua, was accused of hosting drunken parties for students  and possib ",['hate.speech'],0.6,0.9,Cronaca
110,the first congressional report on the capitol riot is the most detailed account yet of the dozens of intelligence f ,['hate.speech'],0.3833333333333333,0.5277777777777778,Drama
111,"the outage was connected to the cloud computing provider fastly, which said the issue had been identified. many of ",['hate.speech'],0.35,0.55,Religion
112,"can you create images in your minds eye?

scientists estimate that tens of millions of people can not, while million ",['neutral'],0.0,0.0,Politics
113,"several major websites, including those of the british government, the new york times and the guardian, were inacce ",['hate.speech'],0.04971590909090909,0.23863636363636365,Religion
114,some readers are currently unable to access  we are looking into it and will send an update soon.,['neutral'],-0.5,0.5,Religion
115,"in opinion

if the first amendments guarantee of a free press means anything, it has to mean that the government ",['hate.speech'],0.1125,0.6069444444444444,Politics
116,"this is australotitan cooperensis, nicknamed ""cooper.""

it was a long-necked, plant-eating titanosaur that lived mo ",['hate.speech'],0.0,0.0,Politics
117,the first congressional report on the capitol riot is the most detailed account yet of the dozens of intelligence f ,['hate.speech'],0.3833333333333333,0.5277777777777778,Drama
118,"brexit, which loyalists say is driving a wedge between northern ireland and the rest of the you.OK., has inflamed sect ",['neutral'],0.0,0.0,Action
119,adults will be able to claim a free marijuana joint when they receive a covid-19 vaccine in washington state. the p ,['hate.speech'],0.45,0.7125,Politics
120,here's a look at some of the highlights worth watching from late-night tv. ,['hate.speech'],0.3,0.1,Cronaca
121,"bdelloid rotifers may be the toughest, tiniest animal youve never heard of.  ",['hate.speech'],0.0,0.0,Drama
122,early results of midterm elections in mexico suggested that andrs manuel lpez obradors leftist coalition would n ,['hate.speech'],0.025,0.45,Drama
123,"a retired nypd officer died after he was shot in the torso during a confrontation outside a brooklyn pizzeria, the ",['hate.speech'],0.0,0.05,Politics
