#,Text,Prediction,Polarity,Subjectivity,LDA_pred_number
0,"""its a david and goliath situation."" a viral tiktok accusing converse of stealing a sneaker look sheds light on ho ",['hate.speech'],0.4,0.7,Politics
1,.@jeffreykluger: why jeff bezos should be applauded for going to space ,['neutral'],0.0,0.0,Politics
2,"as the final season of ""kim's convenience"" arrives on netflix, its legacy is dampened by claims of a racist work en ",['hate.speech'],0.0,1.0,Cronaca
3,"everything you need to know about ""loki"" and time travel in the mcu",['neutral'],0.0,0.0,Politics
4,"how kids perceive racism in the you.s., according to a new study by @sesameworkshop ",['neutral'],0.13636363636363635,0.4545454545454545,Action
5,"with the return of ""lupin"" to netflix, omar sy is back in the spotlight, whether he wants it or not ",['hate.speech'],0.1,0.05,Cronaca
6,"senate overwhelmingly passes $250 billion tech investment bill aimed at countering china
",['neutral'],0.5,1.0,Drama
7,exclusive: iran steps up efforts to sow discord inside the you.s. ,['hate.speech'],0.0,0.0,Cronaca
8,"after decades of misogynistic and violent oppression by myanmars military and its cronies, it finally looks like ",['neutral'],-0.3,0.7000000000000001,Action
9,the racial reckoning went global last year. here's how activists in 8 countries are fighting for justice ,['hate.speech'],0.0,0.03333333333333333,Drama
10,"in late may, chinas state council signaled a crackdown on cryptocurrency mining, causing bitcoins price to plumme ",['hate.speech'],-0.3,0.6,Cronaca
11,"either i resigned myself to the fact that... i was going to endure this kind of behavior, or i joined this group o ",['hate.speech'],0.6,0.9,Drama
12,"on june 16, you.s. president joe biden and russian president vladimir putin are to meet face to face for the first ti ",['hate.speech'],0.125,0.16666666666666666,Religion
13,"india is demanding social media remove references to the ""indian variant"" of covid-19. but what should it be called?
",['neutral'],0.03333333333333333,0.06666666666666668,Cronaca
14,"when i leave, i want to leave something [behind], so people can live off of it forever. that is what i was brought ",['neutral'],-0.13181818181818186,0.6,Drama
15,"in central america, hurricane season brings new threats ",['hate.speech'],0.06818181818181818,0.3522727272727273,Cronaca
16,36 new books you need to read this summer ,['hate.speech'],0.13636363636363635,0.4545454545454545,Action
17,'all of our generational wealth was stolen.' a survivor of the tulsa race massacre says her family is still trying ,['hate.speech'],0.0,0.0,Politics
18,"everything you need to know about ""loki"" and time travel in the mcu
",['hate.speech'],0.0,0.0,Politics
19,"with the return of ""lupin"" to netflix, omar sy is back in the spotlight, whether he wants it or not ",['hate.speech'],0.1,0.05,Cronaca
20,"""its eerily like 2009 in virginias gubernatorial primary,"" writes @philip_elliott ",['hate.speech'],0.4,0.5,Action
21,"as the final season of ""kim's convenience"" arrives on netflix, its legacy is dampened by claims of a racist work en ",['hate.speech'],0.0,1.0,Cronaca
22,"""netanyahu's greatest achievement was convincing israel he alone transformed the state"" 
",['hate.speech'],0.75,1.0,Drama
23,"""bachelor"" fans respond to chris harrison's reported eight-figure parting deal with the franchise ",['neutral'],0.0,0.0,Politics
24,"""how can we escape the covid-19 vaccine culture wars?"" ",['neutral'],0.0,0.0,Cronaca
25,watch from @timeforkids: a new study by @sesameworkshop reveals how kids and families perceive racism in the you.s. ,['neutral'],0.13636363636363635,0.4545454545454545,Politics
26,"why it's crucial to talk to kids about pronouns, according to the author of a new children's book about gender iden ",['hate.speech'],0.06818181818181818,0.7272727272727273,Politics
27,"beyond tulsa: the historic legacies and overlooked stories of americas ""black wall streets"" ",['hate.speech'],-0.08333333333333333,0.21666666666666667,Politics
28,rt @aaltman82: big congrats to @wjhenn for winning the gerald ford prize for distinguished reporting on national defense. here's just one o,['neutral'],0.25,0.425,Drama
29,"rt @brian_skerry: an op-ed i wrote for @time 

how whales can teach us to be better humans ",['neutral'],0.5,0.5,Politics
30,the 5 best new tv shows our critic watched in may 2021 ,['neutral'],0.5681818181818181,0.3772727272727273,Action
31,"with gun violence typically increasing in the summer months, experts are raising concerns that the season will see ",['hate.speech'],-0.16666666666666666,0.5,Drama
32,"""how whales can teach us to be better humans""
",['hate.speech'],0.5,0.5,Politics
33,"income inequality has always existed in the you.s., but the gap between rich and poor hasn't always been as wide as i ",['hate.speech'],-0.04166666666666668,0.5833333333333334,Religion
34,"everything you need to know about ""loki"" and time travel in the mcu
",['hate.speech'],0.0,0.0,Politics
35,this will 100% save somebodys life. heres why athletes like michael phelps see a turning point for mental healt ,['hate.speech'],-0.1,0.2,Action
36,"""how can we escape the covid-19 vaccine culture wars?"" ",['neutral'],0.0,0.0,Cronaca
37,"2021 could be the biggest wedding year ever. but are guests ready to gather?
",['hate.speech'],0.2,0.5,Drama
38,rt @timeforkids: the increased media coverage around what happened with george floyd was causing kids to ask questions that they hadn't be,['hate.speech'],0.0,0.0,Cronaca
