Text,Prediction,Polarity,Subjectivity
"could this be california's worst year for drought?",['neutral'],-1.0,1.0
china students hold principal hostage in rare protest ,['neutral'],0.3,0.9
harry and meghan did not ask queen to use lilibet name - palace source ,['neutral'],0.0,0.0
south korean mayor apologises for almost falling for vaccine scam ,['hate.speech'],0.0,0.0
"how grief has united an israeli, and a palestinian mother ",['hate.speech'],-0.8,0.2
iraqis suffer as us-iran shadow war shifts gear ,['neutral'],0.0,0.0
does covid mean the end of hugging strangers? ,['hate.speech'],-0.3125,0.6875
'my paralympic dreams dashed by 1.5mm' ,['neutral'],0.0,0.0
have more young people had covid in indias second wave? ,['hate.speech'],0.19999999999999998,0.3
sushil kumar: the indian olympic legend accused of murder ,['hate.speech'],0.0,0.0
why covid has made it harder for young women to get jobs ,['neutral'],0.0,0.2
unbelievable super-group of whales caught on film ,['hate.speech'],-0.25,1.0
nicaragua arrests third possible challenger to daniel ortega ,['neutral'],0.0,0.5
young thai workers race to reopen deserted beaches ,['hate.speech'],0.1,0.4
russia complains to uefa over ukraine's 'political' euro 2020 jersey ,['hate.speech'],0.0,0.1
march through muslim quarter in jerusalem to go ahead ,['hate.speech'],0.0,0.0
tax details of us super-rich allegedly leaked ,['hate.speech'],-0.1,0.1
the us socialite who gave it all up to become a carmelite nun ,['hate.speech'],0.0,0.0
italy's plummeting birth rate worsened by pandemic ,['neutral'],0.0,0.0
travel: us eases travel rules for 61 countries - but not uk ,['neutral'],0.0,0.0
"""how can we look families in the eye and say 'islamophobia isn't real'?""prime minister justin trudeau decries isl ",['hate.speech'],0.2,0.30000000000000004
kamala harris under pressure to visit us-mexico border ,['hate.speech'],0.0,0.0
twitter ban in nigeria: can you be arrested for tweeting? ,['neutral'],0.0,0.0
"rt @bbcnews: us eases travel rules for 61 countries - but not uk",['neutral'],0.0,0.0
israel says gaza tower it destroyed was used by hamas to try to jam iron dome ,['hate.speech'],0.0,0.0
india coronavirus: what is the government's change to vaccine policy? ,['neutral'],0.0,0.0
french president macron slapped by person in crowd  ,['hate.speech'],0.0,0.0
us double eagle gold coin sold for record $18.9m ,['neutral'],0.0,0.0
kim's convenience stars decry 'racist' storylines and lack of diversity ,['hate.speech'],0.0,0.0
@bbcnews hartlepool council's leader deniesclaims from his own authority that monkey statue was to be given a sign ,['hate.speech'],0.27499999999999997,0.5
"rt @bbcnews: hollywood stars descends on yorkshire village for filming of new indiana jones movie",['hate.speech'],0.13636363636363635,0.45454545454545453
the bachelor host chris harrison stepping down permanently over racism row ,['neutral'],-0.15555555555555559,0.2888888888888889
"rt @bbcweather: this huge tornado was captured on camera in weld county, colorado, yesterday. the twister covered a path of around 14 miles",['hate.speech'],0.4000000000000001,0.9
australia under pressure to free refugee family detained on christmas island ,['neutral'],0.4,0.8
"rt @bbcnews: molly the labrador had a lucky escape after an accident which saw a one-metre-long stick penetrate her body, narrowly missing",['hate.speech'],0.06666666666666665,0.4416666666666667
"rt @bbcworld: three cars collapse into sinkhole in jerusalem hospital car park ",['hate.speech'],0.0,0.0
rt @bbcworld: the second wave of covid-19 ravaged india and experts believe the number of deaths in rural areas is much higher than officia,['neutral'],0.08333333333333333,0.16666666666666666
rt @bbcworld: more than 800 suspected criminals have been arrested worldwide after being tricked into using an fbi-run encrypted messaging,['neutral'],0.5,0.5
"rt @bbcnews: lahore police arrest man in connection with murder of london woman killed in pakistan",['hate.speech'],-0.125,0.0
rt @bbcnews: prince charles 'happy' after harry and meghan announce birth of baby girl ,['hate.speech'],0.8,1.0
"muslim family killed in canada's truck attack named",['hate.speech'],-0.2,0.0
"""we don't have anything to eat""residents in a district of ethiopia's tigray region say they are on the verge of s ",['hate.speech'],0.0,0.0
puffins return to calf of man after three decades ,['hate.speech'],0.0,0.0
apple pays millions in iphone-repair explicit photo case ,['neutral'],0.0,0.0
"us to set up new ""strike force"" to target ""unfair trade practices"" by competitors like china ",['neutral'],-0.18181818181818182,0.7272727272727273
gamemaker capcom accused of infringing artist's copyright in resident evil games ,['hate.speech'],-1.0,1.0
rt @bbcbreaking: un court rejects former bosnian serb commander ratko mladic's appeal against conviction for genocide ,['neutral'],0.0,0.0
president biden's administration moves to defend donald trump in rape defamation case ,['hate.speech'],0.0,0.0
rt @bbcbreaking: two people arrested after french president emmanuel macron slapped in the face ,['hate.speech'],0.0,0.0
carey mulligan and zoe kazan to play harvey weinstein reporters in new film ,['hate.speech'],0.13636363636363635,0.45454545454545453
"intelligence agency warnings failed to reach police, senate report into us capitol riot says ",['hate.speech'],-0.5,0.3
france president emmanuel macron slapped in the face ,['hate.speech'],0.0,0.0
could this be california's worst year for drought? ,['neutral'],-1.0,1.0
more than 800 suspected criminals have been arrested worldwide after being tricked into using an fbi-run encrypted ,['neutral'],0.5,0.5
the wanted man who accidentally helped fbi get in criminals' pockets ,['hate.speech'],0.0,0.0
family describes wedding tragedy as pakistan train accident death toll rises ,['hate.speech'],0.0,0.0
rt @bbcnews: shackled skeleton find 'evidence of roman slavery' ,['hate.speech'],0.0,0.0
"the right-wing candidate in peru's presidential election alleges ""signs of fraud"" as she falls behind in count ",['hate.speech'],-0.4,0.7
the second wave of covid-19 ravaged india and experts believe the number of deaths in rural areas is much higher th ,['neutral'],0.08333333333333333,0.16666666666666666
el salvador woman sentenced to 30 years in prison accused of terminating her pregnancy is freed ,['hate.speech'],0.0,0.0
"rt @bbcnews: portugal is now on the amber list but what does that mean?",['hate.speech'],-0.3125,0.6875
rt @bbcnews: woman saves twin sister by punching crocodile in the face ,['hate.speech'],0.0,0.0
ex-president of paris-descartes university charged over scandal in which bodies donated for research were left pile ,['hate.speech'],0.0,0.0
the new york farm helping young people into work ,['hate.speech'],0.11818181818181818,0.42727272727272725
"rt @bbcbreaking: number of major government and media websites currently not working, including guardian, ft, independent and new york time",['neutral'],0.04971590909090909,0.3698863636363636
"hollywood has turned a corner for women, kate winslet says ",['neutral'],0.0,0.0
former president of the united states bill clinton and author james patterson have written a sequel to their bestse ,['hate.speech'],0.0,0.0
why bill clinton wants to rule the literary world ,['hate.speech'],0.15000000000000002,0.1
the 'missing' covid-19 deaths in rural india ,['hate.speech'],-0.1,0.025
"time for a snooze    wandering elephants take well deserved rest during china migration ",['neutral'],0.0,0.0
