Text,Prediction,Polarity,Subjectivity
"""its a david and goliath situation."" a viral tiktok accusing converse of stealing a sneaker look sheds light on ho ",['hate.speech'],0.4,0.7
.@jeffreykluger: why jeff bezos should be applauded for going to space ,['neutral'],0.0,0.0
"as the final season of ""kim's convenience"" arrives on netflix, its legacy is dampened by claims of a racist work en ",['hate.speech'],0.0,1.0
"everything you need to know about ""loki"" and time travel in the mcu
",['hate.speech'],0.0,0.0
"how kids perceive racism in the you.s., according to a new study by @sesameworkshop ",['neutral'],0.13636363636363635,0.45454545454545453
"with the return of ""lupin"" to netflix, omar sy is back in the spotlight, whether he wants it or not ",['hate.speech'],0.1,0.05
"senate overwhelmingly passes $250 billion tech investment bill aimed at countering china
",['neutral'],0.5,1.0
exclusive: iran steps up efforts to sow discord inside the you.s. ,['hate.speech'],0.0,0.0
"after decades of misogynistic and violent oppression by myanmars military and its cronies, it finally looks like ",['neutral'],-0.3,0.7000000000000001
the racial reckoning went global last year. here's how activists in 8 countries are fighting for justice ,['hate.speech'],0.0,0.03333333333333333
"in late may, chinas state council signaled a crackdown on cryptocurrency mining, causing bitcoins price to plumme ",['hate.speech'],-0.3,0.6
"either i resigned myself to the fact that... i was going to endure this kind of behavior, or i joined this group o ",['hate.speech'],0.6,0.9
"on june 16, you.s. president joe biden and russian president vladimir putin are to meet face to face for the first ti ",['hate.speech'],0.125,0.16666666666666666
"india is demanding social media remove references to the ""indian variant"" of covid-19. but what should it be called?
",['neutral'],0.03333333333333333,0.06666666666666667
"when i leave, i want to leave something [behind], so people can live off of it forever. that is what i was brought ",['neutral'],-0.13181818181818183,0.6
"in central america, hurricane season brings new threats ",['hate.speech'],0.06818181818181818,0.3522727272727273
36 new books you need to read this summer ,['hate.speech'],0.13636363636363635,0.45454545454545453
'all of our generational wealth was stolen.' a survivor of the tulsa race massacre says her family is still trying ,['hate.speech'],0.0,0.0
"everything you need to know about ""loki"" and time travel in the mcu
",['hate.speech'],0.0,0.0
"with the return of ""lupin"" to netflix, omar sy is back in the spotlight, whether he wants it or not ",['hate.speech'],0.1,0.05
"""its eerily like 2009 in virginias gubernatorial primary,"" writes @philip_elliott ",['hate.speech'],0.4,0.5
"as the final season of ""kim's convenience"" arrives on netflix, its legacy is dampened by claims of a racist work en ",['hate.speech'],0.0,1.0
"""netanyahu's greatest achievement was convincing israel he alone transformed the state"" 
",['hate.speech'],0.75,1.0
"""bachelor"" fans respond to chris harrison's reported eight-figure parting deal with the franchise ",['neutral'],0.0,0.0
