,Text,Prediction,Polarity,Subjectivity,LDA_pred_number
0,could this be california's worst year for drought?,['neutral'],-1.0,1.0,Drama
1,china students hold principal hostage in rare protest ,['neutral'],0.3,0.9,Drama
2,harry and meghan did not ask queen to use lilibet name - palace source ,['neutral'],0.0,0.0,Cronaca
3,south korean mayor apologises for almost falling for vaccine scam ,['hate.speech'],0.0,0.0,Drama
4,"how grief has united an israeli, and a palestinian mother ",['hate.speech'],-0.8,0.2,Action
5,iraqis suffer as us-iran shadow war shifts gear ,['neutral'],0.0,0.0,Religion
6,does covid mean the end of hugging strangers? ,['hate.speech'],-0.3125,0.6875,Cronaca
7,'my paralympic dreams dashed by 1.5mm' ,['neutral'],0.0,0.0,Action
8,have more young people had covid in indias second wave? ,['hate.speech'],0.2,0.3,Politics
9,sushil kumar: the indian olympic legend accused of murder ,['hate.speech'],0.0,0.0,Religion
10,why covid has made it harder for young women to get jobs ,['neutral'],0.0,0.2,Action
11,unbelievable super-group of whales caught on film ,['hate.speech'],-0.25,1.0,Politics
12,nicaragua arrests third possible challenger to daniel ortega ,['neutral'],0.0,0.5,Action
13,young thai workers race to reopen deserted beaches ,['hate.speech'],0.1,0.4,Drama
14,russia complains to uefa over ukraine's 'political' euro 2020 jersey ,['hate.speech'],0.0,0.1,Cronaca
15,march through muslim quarter in jerusalem to go ahead ,['hate.speech'],0.0,0.0,Drama
16,tax details of us super-rich allegedly leaked ,['hate.speech'],-0.1,0.1,Action
17,the us socialite who gave it all up to become a carmelite nun ,['hate.speech'],0.0,0.0,Action
18,italy's plummeting birth rate worsened by pandemic ,['neutral'],0.0,0.0,Religion
19,travel: us eases travel rules for 61 countries - but not uk ,['neutral'],0.0,0.0,Cronaca
20,"""how can we look families in the eye and say 'islamophobia isn't real'?""prime minister justin trudeau decries isl ",['hate.speech'],0.2,0.30000000000000004,Drama
21,kamala harris under pressure to visit us-mexico border ,['hate.speech'],0.0,0.0,Drama
22,twitter ban in nigeria: can you be arrested for tweeting? ,['neutral'],0.0,0.0,Cronaca
23,rt @bbcnews: us eases travel rules for 61 countries - but not uk,['neutral'],0.0,0.0,Cronaca
24,israel says gaza tower it destroyed was used by hamas to try to jam iron dome ,['hate.speech'],0.0,0.0,Politics
25,india coronavirus: what is the government's change to vaccine policy? ,['neutral'],0.0,0.0,Action
26,french president macron slapped by person in crowd  ,['hate.speech'],0.0,0.0,Religion
27,us double eagle gold coin sold for record $18.9m ,['neutral'],0.0,0.0,Cronaca
28,kim's convenience stars decry 'racist' storylines and lack of diversity ,['hate.speech'],0.0,0.0,Drama
29,@bbcnews hartlepool council's leader deniesclaims from his own authority that monkey statue was to be given a sign ,['hate.speech'],0.275,0.5,Action
30,rt @bbcnews: hollywood stars descends on yorkshire village for filming of new indiana jones movie,['hate.speech'],0.13636363636363635,0.4545454545454545,Drama
31,the bachelor host chris harrison stepping down permanently over racism row ,['neutral'],-0.1555555555555556,0.2888888888888889,Action
32,"rt @bbcweather: this huge tornado was captured on camera in weld county, colorado, yesterday. the twister covered a path of around 14 miles",['hate.speech'],0.4000000000000001,0.9,Politics
33,australia under pressure to free refugee family detained on christmas island ,['neutral'],0.4,0.8,Drama
34,"rt @bbcnews: molly the labrador had a lucky escape after an accident which saw a one-metre-long stick penetrate her body, narrowly missing",['hate.speech'],0.06666666666666665,0.4416666666666667,Cronaca
35,rt @bbcworld: three cars collapse into sinkhole in jerusalem hospital car park ,['hate.speech'],0.0,0.0,Action
36,rt @bbcworld: the second wave of covid-19 ravaged india and experts believe the number of deaths in rural areas is much higher than officia,['neutral'],0.08333333333333333,0.16666666666666666,Action
37,rt @bbcworld: more than 800 suspected criminals have been arrested worldwide after being tricked into using an fbi-run encrypted messaging,['neutral'],0.5,0.5,Cronaca
38,rt @bbcnews: lahore police arrest man in connection with murder of london woman killed in pakistan,['hate.speech'],-0.125,0.0,Religion
39,rt @bbcnews: prince charles 'happy' after harry and meghan announce birth of baby girl ,['hate.speech'],0.8,1.0,Cronaca
40,muslim family killed in canada's truck attack named,['hate.speech'],-0.2,0.0,Drama
41,"""we don't have anything to eat""residents in a district of ethiopia's tigray region say they are on the verge of s ",['hate.speech'],0.0,0.0,Drama
42,puffins return to calf of man after three decades ,['hate.speech'],0.0,0.0,Religion
43,apple pays millions in iphone-repair explicit photo case ,['neutral'],0.0,0.0,Cronaca
44,"us to set up new ""strike force"" to target ""unfair trade practices"" by competitors like china ",['neutral'],-0.18181818181818185,0.7272727272727273,Drama
45,gamemaker capcom accused of infringing artist's copyright in resident evil games ,['hate.speech'],-1.0,1.0,Action
46,rt @bbcbreaking: un court rejects former bosnian serb commander ratko mladic's appeal against conviction for genocide ,['neutral'],0.0,0.0,Religion
47,president biden's administration moves to defend donald trump in rape defamation case ,['hate.speech'],0.0,0.0,Politics
48,rt @bbcbreaking: two people arrested after french president emmanuel macron slapped in the face ,['hate.speech'],0.0,0.0,Religion
